"CLT_ID","LIST_DATE","Count_Range_1_799","Count_Range_800_999","Count_Range_1000_1499","Count_Range_1500_1999","Count_Range_2000_2499","Count_Range_2500_2999","Count_Range_3000_3499","Count_Range_3500_3999","Count_Range_4000_4499","Count_Range_4500_4999","Count_Range_5000_5999","Count_Range_6000_6999","Count_Range_7000_7999","Count_Range_8000_8999","Count_Range_9000_9999","Count_Range_10000plus","Range_1_799","Range_800_999","Range_1000_1499","Range_1500_1999","Range_2000_2499","Range_2500_2999","Range_3000_3499","Range_3500_3999","Range_4000_4499","Range_4500_4999","Range_5000_5999","Range_6000_6999","Range_7000_7999","Range_8000_8999","Range_9000_9999","Range_10000plus","Total_Count_Ranges","Total_Cur_Bal"
"CN4001","2021-12-27","1","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","498.89","0.00","2411.38","1600.54","4220.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6","8731.04"
"CN4001","2022-01-27","5","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","2255.70","0.00","1025.00","1698.97","0.00","0.00","3461.82","3582.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9","12023.97"
"CN4001","2022-03-28","3","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","1775.23","957.07","0.00","5252.35","0.00","0.00","3451.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8","11435.81"
"CN4001","2022-04-27","4","1","2","4","0","1","0","0","0","0","0","0","0","0","0","0","633.93","868.06","2525.41","6887.96","0.00","2844.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12","13759.47"
"CN4001","2022-05-25","16","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","5057.14","0.00","2559.56","4964.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22","14080.24"
"CN4001","2022-07-01","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","603.81","0.00","0.00","3412.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3","4015.86"
"CN4001","2022-07-28","0","0","2","1","1","0","1","1","0","0","0","0","0","0","0","0","0.00","0.00","2944.94","1950.78","2171.90","0.00","3081.23","3599.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6","13747.94"
"CN4002","","1","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","786.83","0.00","0.00","3545.11","0.00","7560.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6","11892.21"
"CN4002","2021-12-27","1","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","786.83","0.00","0.00","3545.11","0.00","7560.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6","11892.21"
"CN4003","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","1156.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","1156.56"
"CN4003","2022-01-27","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","1156.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","1156.56"
"CN4004","","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0.00","0.00","0.00","1971.16","0.00","0.00","0.00","0.00","0.00","4520.64","0.00","0.00","0.00","0.00","0.00","0.00","2","6491.80"
"CN4004","2022-03-28","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0.00","0.00","0.00","1971.16","0.00","0.00","0.00","0.00","0.00","4520.64","0.00","0.00","0.00","0.00","0.00","0.00","2","6491.80"
"CN4006","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","2166.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","2166.46"
"CN4006","2022-05-25","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","2166.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1","2166.46"
"CN4007","","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","287.80","0.00","0.00","0.00","2482.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","2770.07"
"CN4007","2022-07-01","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","287.80","0.00","0.00","0.00","2482.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2","2770.07"
"CN4008","","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","728.50","0.00","0.00","1783.99","0.00","5198.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","7710.58"
"CN4008","2022-07-28","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","728.50","0.00","0.00","1783.99","0.00","5198.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","7710.58"
"CP4001","","79","18","34","12","1","0","0","0","0","0","0","0","0","0","0","0","28738.25","16988.67","40885.68","20526.82","2176.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","187","109317.78"
"CP4001","2022-07-13","79","18","34","12","1","0","0","0","0","0","0","0","0","0","0","0","28738.25","16988.67","40885.68","20526.82","2176.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","187","109317.78"
"CP4002","","28","11","18","8","5","0","0","0","0","0","0","0","0","0","0","0","8161.11","9868.08","22829.79","13870.38","11007.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","93","65737.74"
"CP4002","2022-08-01","28","11","18","8","5","0","0","0","0","0","0","0","0","0","0","0","8161.11","9868.08","22829.79","13870.38","11007.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","93","65737.74"
"CPM001","","12","3","7","6","4","10","5","25","62","69","228","86","2","0","0","0","6941.45","2565.39","8552.65","10315.68","9030.56","27695.33","16369.98","94686.77","264158.84","329545.51","1253034.52","539898.83","14110.75","0.00","0.00","0.00","519","2576906.26"
"CPM001","2022-01-05","1","0","1","2","1","0","1","1","4","2","26","2","0","0","0","0","649.93","0.00","1303.16","3395.48","2433.05","0.00","3224.79","3964.82","17036.15","9458.15","142390.09","12166.68","0.00","0.00","0.00","0.00","41","196022.30"
"CPM001","2022-01-14","0","0","2","0","0","1","0","1","2","8","16","1","0","0","0","0","0.00","0.00","2203.82","0.00","0.00","2748.40","0.00","3996.11","8421.33","38230.69","87655.40","6092.20","0.00","0.00","0.00","0.00","31","149347.95"
"CPM001","2022-02-03","0","0","0","0","0","0","0","0","2","1","3","21","2","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8699.28","4887.96","16849.13","135641.77","14110.75","0.00","0.00","0.00","29","180188.89"
"CPM001","2022-03-22","1","0","0","1","1","2","1","2","8","11","24","2","0","0","0","0","652.34","0.00","0.00","1678.24","2293.22","5240.97","3080.99","7533.16","34397.80","52912.29","130223.36","12060.24","0.00","0.00","0.00","0.00","53","250072.61"
